Symptom,Disease
swelling,chronic kidney failure
in the chest,cardiomyopathy
dizziness,cardiomyopathy
fatigue,cardiomyopathy
loss of appetite,cardiomyopathy
abnormal heart rhythm,cardiomyopathy
fast heart rate,cardiomyopathy
murmur,cardiomyopathy
bloating,cardiomyopathy
fluid in the abdomen,cardiomyopathy
coughing,cardiomyopathy
shortness of breath,cardiomyopathy
swelling in extremities,cardiomyopathy
weight gain,cardiomyopathy
pain in the abdomen,cholecystitis
shoulder pain,cholecystitis
pain in upper-right abdomen,cholecystitis
bloating,cholecystitis
nausea,cholecystitis
vomiting,cholecystitis
chills,cholecystitis
fever,cholecystitis
sweating,cholecystitis
abdominal cramping from gallstones,cholecystitis
yellow skin and eyes,cholecystitis
redness,decubitus ulcer
dark scab,decubitus ulcer
ulcer of ankle,decubitus ulcer
ulcer of heel and midfoot,decubitus ulcer
ulcer of hip,decubitus ulcer
ulcer of tailbone,decubitus ulcer
chronic wound,decubitus ulcer
swelling,decubitus ulcer
crying,affect labile
inappropriate laughter,affect labile
lack of restraint,affect labile
irritability,affect labile
anger,affect labile
mood swings,affect labile
pain in the sinuses,upper respiratory infection
congestion,upper respiratory infection
loss of smell,upper respiratory infection
post-nasal drip,upper respiratory infection
sneezing,upper respiratory infection
sinusitis,upper respiratory infection
wheezing,upper respiratory infection
fatigue,upper respiratory infection
fever,upper respiratory infection
hoarseness,upper respiratory infection
laryngitis,upper respiratory infection
irritation of the tonsils,upper respiratory infection
soreness,upper respiratory infection
coughing,upper respiratory infection
headache,upper respiratory infection
inflammation of ear phlegm,upper respiratory infection
swollen lymph nodes,upper respiratory infection
fatigue,kidney disease
high blood pressure,kidney disease
loss of appetite,kidney disease
malaise,kidney disease
water-electrolyte imbalance,kidney disease
kidney damage,kidney disease
abnormal heart rhythm,kidney disease
failure to thrive,kidney disease
fluid in the lungs,kidney disease
insufficient urine production,kidney disease
itching,kidney disease
kidney failure,kidney disease
severe unintentional weight loss,kidney disease
swelling,kidney disease
discomfort,malignant neoplasm of breast
inverted nipple,malignant neoplasm of breast
lumps,malignant neoplasm of breast
nipple discharge,malignant neoplasm of breast
redness,malignant neoplasm of breast
swollen lymph nodes,malignant neoplasm of breast
warmness,cellulitis
blister,cellulitis
red rashes,cellulitis
swelling,cellulitis
chills,cellulitis
fever,cellulitis
malaise,cellulitis
pus can be dry,cellulitis
frequent respiratory infections,chronic obstructive airway disease
shortness of breath,chronic obstructive airway disease
wheezing,chronic obstructive airway disease
fatigue,chronic obstructive airway disease
inability to exercise,chronic obstructive airway disease
chest pressure,chronic obstructive airway disease
social isolation,aphasia
persistent repetition of words,aphasia
persistent repetition of actions,aphasia
difficulty speaking,aphasia
jumbled speech,aphasia
difficulty building and drawing things,aphasia
loss of the ability to write,aphasia
muscles can be drywith phlegm,influenza
chills,influenza
dehydration,influenza
fatigue,influenza
fever,influenza
flushing,influenza
loss of appetite,influenza
body ache,influenza
sweating,influenza
congestion,influenza
runny nose,influenza
sneezing,influenza
chest pressure,influenza
head congestion,influenza
headache,influenza
nausea,influenza
shortness of breath,influenza
sore throat,influenza
swollen lymph nodes in the flank,influenza
swollen lymph nodes in the back,pyelonephritis
swollen lymph nodes in the pelvis,pyelonephritis
pain can occur during urination,pyelonephritis
urinary tract infection,pyelonephritis
cloudy urine,pyelonephritis
foul smelling urine,pyelonephritis
frequent urge to urinate,pyelonephritis
frequent urination,pyelonephritis
blood in urine,pyelonephritis
chills,pyelonephritis
fever,pyelonephritis
fatigue,pyelonephritis
loss of appetite,pyelonephritis
malaise,pyelonephritis
nausea,pyelonephritis
vomiting,pyelonephritis
fast heart rate,pyelonephritis
blurred vision,glaucoma
distorted vision,glaucoma
vision loss,glaucoma
in the abdomen,hernia hiatal
chest,hernia hiatal
belching,hernia hiatal
heartburn,hernia hiatal
hiccup,hernia hiatal
nausea,hernia hiatal
regurgitation,hernia hiatal
vomiting,hernia hiatal
throat irritation,hernia hiatal
can occur while swallowing,oralcandidiasis
bad breath,oralcandidiasis
dryness,oralcandidiasis
white tongue,oralcandidiasis
abnormality of taste,oralcandidiasis
difficulty swallowing,oralcandidiasis
redness,oralcandidiasis
can occur at night,asthma
during exercise,asthma
can be chronic,asthma
dry,asthma
with phlegm,asthma
mild,asthma
severe,asthma
difficulty breathing,asthma
wheezing,asthma
breathing through the mouth,asthma
fast breathing,asthma
frequent respiratory infections,asthma
rapid breathing,asthma
shortness of breath at night,asthma
chest pressure,asthma
flare,asthma
anxiety,asthma
early awakening,asthma
fast heart rate,asthma
throat irritation,asthma
difficulty walking,transient ischemic attack
muscle weakness,transient ischemic attack
problems with coordination,transient ischemic attack
weakness of one side of the body,transient ischemic attack
feeling faint,transient ischemic attack
lightheadedness,transient ischemic attack
vertigo,transient ischemic attack
slurred speech,transient ischemic attack
impaired voice,transient ischemic attack
blurred vision,transient ischemic attack
vision loss,transient ischemic attack
muscle weakness,transient ischemic attack
numbness,transient ischemic attack
difficulty swallowing,transient ischemic attack
mental confusion,transient ischemic attack
reduced sensation of touch,transient ischemic attack
can occur in the chest while breathing,embolism pulmonary
lightheadedness,embolism pulmonary
low oxygen in the body,embolism pulmonary
fast heart rate,embolism pulmonary
palpitations,embolism pulmonary
fast breathing,embolism pulmonary
shortness of breath,embolism pulmonary
dry cough,embolism pulmonary
type 2 diabetes,diabetes
belching,gastroesophageal reflux disease
heartburn,gastroesophageal reflux disease
nausea,gastroesophageal reflux disease
regurgitation,gastroesophageal reflux disease
bitter taste,gastroesophageal reflux disease
discomfort in upper abdomen,gastroesophageal reflux disease
dry cough,gastroesophageal reflux disease
in the abdomen,hernia
pain in pelvis,hernia
pain in testicle,hernia
can be dull,hernia
abdominal discomfort,hernia
abdominal distension,hernia
groin discomfort,hernia
tenderness,hernia
fever,endocarditis
chills,endocarditis
fatigue,endocarditis
malaise,endocarditis
night sweats,endocarditis
heart murmuror,endocarditis
pain in the area between shoulder blades,myocardial infarction
pain in arm,myocardial infarction
pain in chest,myocardial infarction
pain in jaw,myocardial infarction
pain in left arm,myocardial infarction
pain in upper abdomen,myocardial infarction
can be like a clenched fist in the chest,myocardial infarction
can occur during rest,myocardial infarction
dizziness,myocardial infarction
fatigue,myocardial infarction
lightheadedness,myocardial infarction
clammy skin,myocardial infarction
cold sweat,myocardial infarction
sweating,myocardial infarction
heartburn,myocardial infarction
indigestion,myocardial infarction
nausea,myocardial infarction
vomiting,myocardial infarction
discomfort,myocardial infarction
tightness,myocardial infarction
anxiety,myocardial infarction
chest pressure,myocardial infarction
feeling of impending doom,myocardial infarction
palpitations,myocardial infarction
shortness of breath,myocardial infarction
shoulder discomfort ,myocardial infarction
pain in the abdomen,fibroid tumor
pain in lower back,fibroid tumor
pain in pelvis,fibroid tumor
abnormal menstruation,fibroid tumor
heavy menstruation,fibroid tumor
irregular menstruation,fibroid tumor
painful menstruation,fibroid tumor
spotting,fibroid tumor
abdominal distension,fibroid tumor
cramping,fibroid tumor
pain in the abdomen,gastroenteritis
diarrhea,gastroenteritis
stomach cramps,gastroenteritis
belching,gastroenteritis
gagging,gastroenteritis
indigestion,gastroenteritis
nausea,gastroenteritis
vomiting,gastroenteritis
flatulence,gastroenteritis
chills,gastroenteritis
dehydration,gastroenteritis
fatigue,gastroenteritis
fever,gastroenteritis
lethargy,gastroenteritis
lightheadedness,gastroenteritis
loss of appetite,gastroenteritis
fast heart rate,gastroenteritis
headache,gastroenteritis
insufficient urine production,gastroenteritis
weakness,gastroenteritis
weight loss,gastroenteritis
discomfort,carcinoma breast
inverted nipple,carcinoma breast
lumps,carcinoma breast
nipple discharge,carcinoma breast
redness,carcinoma breast
swollen lymph nodes,carcinoma breast
paincan be mild in the abdomen,hepatitis B
fatigue,hepatitis B
loss of appetite,hepatitis B
malaise,hepatitis B
fluid in the abdomen,hepatitis B
nausea,hepatitis B
web of swollen blood vessels in the skin,hepatitis B
yellow skin and eyes,hepatitis B
dark urine,hepatitis B
itching,hepatitis B
in the abdomen,diverticulitis
bloating,diverticulitis
blood in stool,diverticulitis
change in bowel habits,diverticulitis
constipation,diverticulitis
diarrhea,diverticulitis
indigestion,diverticulitis
nausea,diverticulitis
vomiting,diverticulitis
flatulence,diverticulitis
chills,diverticulitis
fever,diverticulitis
loss of appetite,diverticulitis
cramping,diverticulitis
hypervigilance,anxiety state
irritability,anxiety state
restlessness,anxiety state
lack of concentration,anxiety state
racing thoughts,anxiety state
unwanted thoughts,anxiety state
fatigue,anxiety state
sweating,anxiety state
anxiety,anxiety state
excessive worry,anxiety state
fear,anxiety state
feeling of impending doom,anxiety state
insomnia,anxiety state
nausea,anxiety state
palpitations,anxiety state
trembling,anxiety state
pain can be sharp in the chest,pneumonia
fever,pneumonia
chills,pneumonia
dehydration,pneumonia
fatigue,pneumonia
loss of appetite,pneumonia
malaise,pneumonia
clammy skin,pneumonia
sweating,pneumonia
fast breathing,pneumonia
shallow breathing,pneumonia
shortness of breath,pneumonia
wheezing,pneumonia
coughing,pneumonia
fast heart rate,pneumonia
anxiety,depressive disorder
apathy,depressive disorder
general discontent,depressive disorder
guilt,depressive disorder
hopelessness,depressive disorder
loss of interest,depressive disorder
pleasure in activities,depressive disorder
mood swings,depressive disorder
sadness,depressive disorder
agitation,depressive disorder
excessive crying,depressive disorder
irritability,depressive disorder
restlessness,depressive disorder
social isolation,depressive disorder
early awakening,depressive disorder
excess sleepiness,depressive disorder
insomnia,depressive disorder
restless sleep,depressive disorder
excessive hunger,depressive disorder
fatigue,depressive disorder
loss of appetite,depressive disorder
lack of concentration,depressive disorder
slowness in activity,depressive disorder
thoughts of suicide,depressive disorder
weight gain,depressive disorder
weight loss,depressive disorder
poor appetite,depressive disorder
repeatedly going over thoughts,depressive disorder
mood swings,manic disorder
sadness,manic disorder
elevated mood,manic disorder
anger,manic disorder
anxiety,manic disorder
apathy,manic disorder
apprehension,manic disorder
euphoria,manic disorder
general discontent,manic disorder
guilt,manic disorder
hopelessness,manic disorder
loss of interest,manic disorder
pleasure in activities,manic disorder
irritability,manic disorder
risk taking behavior,manic disorder
disorganized behavior,manic disorder
aggression,manic disorder
agitation,manic disorder
crying,manic disorder
excess desire for sex,manic disorder
hyperactivity,manic disorder
impulsivity,manic disorder
restlessness,manic disorder
self-harm,manic disorder
unwanted thoughts,manic disorder
delusion,manic disorder
lack of concentration,manic disorder
racing thoughts,manic disorder
slowness in activity,manic disorder
false belief of superiority,manic disorder
depression,manic disorder
manic episode,manic disorder
agitated depression,manic disorder
paranoia,manic disorder
weight gain,manic disorder
weight loss,manic disorder
difficulty falling asleep,manic disorder
excess sleepiness,manic disorder
fatigue,manic disorder
rapid and frenzied speaking,manic disorder
pain in the back,obesity
pain in joints,obesity
overweight,obesity
binge eating,obesity
fatigue,obesity
pot belly,obesity
pain can be dull,malignant neoplasm of lung
pain sharp can occur while breathing,malignant neoplasm of lung
dry with phlegm,malignant neoplasm of lung
severe with blood,malignant neoplasm of lung
frequent respiratory infections,malignant neoplasm of lung
shortness of breath,malignant neoplasm of lung
wheezing,malignant neoplasm of lung
fatigue,malignant neoplasm of lung
loss of appetite,malignant neoplasm of lung
chest pressure,malignant neoplasm of lung
hoarseness,malignant neoplasm of lung
swollen lymph nodes,malignant neoplasm of lung
weakness,malignant neoplasm of lung
weight loss,malignant neoplasm of lung
low blood pressure,septicemia
chills,septicemia
dizziness,septicemia
fatigue,septicemia
fever,septicemia
flushing,septicemia
low body temperature,septicemia
shivering,septicemia
altered level of consciousness,septicemia
mental confusion,septicemia
fast breathing,septicemia
shortness of breath,septicemia
delirium,septicemia
fast heart rate,septicemia
insufficient urine production,septicemia
gan dysfunction,septicemia
skin discoloration,septicemia
sleepiness,septicemia
